NodeID,PathIDs,TotalCost
89,89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,813.5212126538373
35,35.0 447.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1833.510704164936
201,201.0 392.0 395.0 193.0 401.0 397.0 400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1839.164823177998
355,355.0 352.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1273.6630642201883
233,233.0 490.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,920.4361287646044
293,293.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,802.6095113574619
244,244.0 247.0 248.0 249.0 335.0 337.0 316.0 318.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1558.8428582137838
328,328.0 311.0 81.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1230.3847752333593
147,147.0 131.0 224.0 223.0 482.0 390.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1212.0440615102143
333,333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1214.5894202635607
499,499.0 501.0 503.0 489.0 490.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,973.9044353522862
405,405.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1245.408148607784
5,5.0 106.0 293.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,997.5873304015905
44,44.0 59.0 8.0 34.0 22.0 141.0 468.0 36.0 135.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1311.991529517332
422,422.0 284.0,54.246021920622255
329,329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1075.0490907060441
337,337.0 316.0 318.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1406.021375150868
174,174.0 185.0 176.0 182.0 179.0 149.0 148.0 147.0 131.0 224.0 223.0 482.0 390.0 483.0 124.0 231.0 360.0 125.0 123.0 475.0 474.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1624.619426854862
